cod_municipio;modulo_fiscal_ha;fracao_minima_parcelamento_ha;zona_tipica_modulo;zona_pecuaria;data_referencia;fonte;observacao
1506112;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1506203;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1506302;65.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1506351;7.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1506401;65.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1506500;55.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1506559;75.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1506609;55.0;3.0;B2;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1506906;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507003;55.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507102;55.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507201;55.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507409;55.0;3.0;B2;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507466;55.0;3.0;B2;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507474;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507607;55.0;3.0;B2;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507706;70.0;4.0;C1;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507904;65.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507953;50.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1507961;55.0;3.0;B2;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1508001;50.0;2.0;A1;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1508035;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1508126;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1508209;55.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1508308;75.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2300101;45.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2300150;35.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2300200;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2300309;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2300408;90.0;2.0;A2;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2300507;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2300606;50.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2300705;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
