# Grupos analíticos da PEVS (process/process_pevs.py), um por categoria do SIDRA.
# A linha casa por tipo_atividade + cod_categoria (código interno do SIDRA, estável);
# a coluna produto é só referência: o rótulo muda (em 2025 o IBGE renumerou as espécies
# da silvicultura e passou a omitir o " - " nos produtos novos).
#
# Só o nível "produto" recebe grupo, para a soma por grupo não contar a mesma produção
# duas vezes: o valor das linhas com grupo fecha com o Total do IBGE.
#   produto   nível mais detalhado que existe na série inteira (2004-2025);
#             na área plantada (tabela 5930), cada espécie
#   agregado  subtotal do IBGE, igual à soma de outras linhas: sem grupo
#   especie   abertura de um produto da silvicultura por espécie, só desde 2013
#             (acácia negra, cedro australiano, mogno africano e teca desde 2025): sem grupo
#   contagem  a mesma extração de outra linha, contada em árvores: sem grupo
# Código que aparecer nos dados sem linha aqui fica sem grupo e vai para os avisos do
# manifesto (data/manifests/pevs_municipio.json).
tipo_atividade;cod_categoria;produto;nivel;grupo;observacao
Extracao;3412;2.1 - Ipecacuanha ou poaia (raiz);produto;extracao_nao_madeireira;
Extracao;3413;2.2 - Jaborandi (folha);produto;extracao_nao_madeireira;
Extracao;3414;2.3 - Urucum (semente);produto;extracao_nao_madeireira;
Extracao;3415;2.4 - Outros;produto;extracao_nao_madeireira;
Extracao;3416;3 - Borrachas;agregado;;soma dos itens 3.x
Extracao;3417;3.1 - Caucho;produto;extracao_nao_madeireira;
Extracao;3418;3.2 - Hevea (látex coagulado);produto;extracao_nao_madeireira;
Extracao;3419;3.3 - Hevea (látex líquido);produto;extracao_nao_madeireira;
Extracao;40524;3.4 - Mangabeira;produto;extracao_nao_madeireira;
Extracao;3420;4 - Ceras;agregado;;soma dos itens 4.x
Extracao;3421;4.1 - Carnaúba (cera);produto;extracao_nao_madeireira;
Extracao;3422;4.2 - Carnaúba (pó);produto;extracao_nao_madeireira;
Extracao;110011;4.3 - Outras;produto;extracao_nao_madeireira;
Extracao;3423;5 - Fibras;agregado;;soma dos itens 5.x
Extracao;3424;5.1 - Buriti;produto;extracao_nao_madeireira;
Extracao;3425;5.2 - Carnaúba;produto;extracao_nao_madeireira;
Extracao;3426;5.3 - Piaçava;produto;extracao_nao_madeireira;
Extracao;3427;5.4 - Outras;produto;extracao_nao_madeireira;
Extracao;3428;6 - Gomas não elásticas;agregado;;soma dos itens 6.x
Extracao;3429;6.1 - Balata;produto;extracao_nao_madeireira;
Extracao;3430;6.2 - Maçaranduba;produto;extracao_nao_madeireira;
Extracao;3431;6.3 - Sorva;produto;extracao_nao_madeireira;
Extracao;3433;7.1 - Carvão vegetal;produto;extracao_madeireira;
Extracao;3434;7.2 - Lenha;produto;extracao_madeireira;
Extracao;3435;7.3 - Madeira em tora;produto;extracao_madeireira;
Extracao;3438;8 - Oleaginosos;agregado;;soma dos itens 8.x
Extracao;83418;8.1 - Andiroba (amêndoa);produto;extracao_nao_madeireira;
Extracao;3439;8.2 - Babaçu (amêndoa);produto;extracao_nao_madeireira;
Extracao;3440;8.3 - Copaíba (óleo);produto;extracao_nao_madeireira;
Extracao;3441;8.4 - Cumaru (amêndoa);produto;extracao_nao_madeireira;
Extracao;3442;8.5 - Licuri (coquilho);produto;extracao_nao_madeireira;
Extracao;83419;8.6 - Murumuru;produto;extracao_nao_madeireira;
Extracao;3443;8.7 - Oiticica (semente);produto;extracao_nao_madeireira;
Extracao;3444;8.8 - Pequi (amêndoa);produto;extracao_nao_madeireira;
Extracao;3445;8.9 - Tucum (amêndoa);produto;extracao_nao_madeireira;
Extracao;3446;8.10 - Outros;produto;extracao_nao_madeireira;
Extracao;3448;9.1 - Pinheiro brasileiro (nó de pinho);produto;extracao_madeireira;madeira, em m³
Extracao;3449;9.2 - Pinheiro brasileiro (árvores abatidas);contagem;;mesma extração de 9.3 contada em mil árvores, sem valor de produção
Extracao;3450;9.3 - Pinheiro brasileiro (madeira em tora);produto;extracao_madeireira;à parte de 7.3: aparece sem 7.3 ou acima dela
Extracao;3451;10 - Tanantes;agregado;;soma dos itens 10.x
Extracao;3452;10.1 - Angico (casca);produto;extracao_nao_madeireira;
Extracao;3453;10.2 - Barbatimão (casca);produto;extracao_nao_madeireira;
Extracao;3454;10.3 - Outros;produto;extracao_nao_madeireira;
# Área plantada por espécie (tabela 5930)
AreaSilvicultura;39326;Eucalipto;produto;eucalipto;
AreaSilvicultura;39327;Pinus;produto;pinus;
AreaSilvicultura;39328;Outras espécies;produto;outras_especies;
AreaSilvicultura;83436;Acácia negra;produto;outras_especies;separada de Outras espécies em 2025
AreaSilvicultura;83437;Cedro australiano;produto;outras_especies;separada de Outras espécies em 2025
AreaSilvicultura;83438;Mogno africano;produto;outras_especies;separada de Outras espécies em 2025
AreaSilvicultura;83439;Teca;produto;outras_especies;separada de Outras espécies em 2025
