cod_municipio;area_geometrica_uniao_ha;area_agropecuaria_mapbiomas_ha;area_vegetacao_mapbiomas_ha;ano_mapbiomas
4318903;121369.1501;76272.3318;42286.5659;2024
4319000;19002.0604;3857.6791000000003;17243.2811;2024
4319109;15989.2229;12531.8309;2131.5985;2024
4319125;61303.7383;31271.618700000003;29278.9371;2024
4319158;114924.4837;75325.3948;39340.710399999996;2024
4319208;44061.1605;18414.4664;22830.964500000002;2024
4319307;19371.7814;7913.642400000001;6051.3216;2024
4319356;2460.0783;693.9534;1452.4342;2024
4319364;6907.3257;6198.589000000001;985.9019;2024
4319372;9357.6921;6688.3079;1392.2918;2024
4319406;76384.1586;23531.0112;47420.9312;2024
4319505;5215.3813;2634.2207;4463.1378;2024
4319604;201644.904;97303.86379999999;81862.6391;2024
4319703;13992.1172;6719.0522;5094.5805;2024
4319711;7132.5678;3595.5114;3745.0316000000003;2024
4319737;8211.9498;6724.9097;2372.7053;2024
4319752;1588.2597;219.9042;1954.2929;2024
4319802;110488.7378;42877.2226;51651.2117;2024
4319901;8363.8771;2161.2376;6855.9108;2024
4320008;880.1968;401.9277;2042.2374;2024
4320107;31192.9133;23848.543100000003;7976.0659;2024
4320206;27145.1482;15330.3865;7502.7625;2024
4320230;10918.5057;9185.7051;1122.1692;2024
4320263;22000.1809;10706.7444;6470.7727;2024
4320305;16190.4458;14744.1084;1187.5552;2024
4320321;13486.1068;11433.7082;2573.0681;2024
4320354;22020.9897;5574.3475;16590.7255;2024
4320404;14144.2539;7605.1975;5160.5344;2024
4320453;7347.3355;2642.8305;4988.9347;2024
4320503;40002.6673;34453.3181;7423.3426;2024
4320552;19718.8503;5045.803;15058.0501;2024
4320578;11930.7276;9213.4998;1479.2264;2024
4320602;14699.7116;5830.4506;6178.9505;2024
4320651;9677.8913;4441.7771;5848.0813;2024
4320677;41629.8146;8183.4689;31723.6194;2024
4320701;10786.2196;5383.0028;3401.8923999999997;2024
4320800;111317.1727;64654.2258;34187.6337;2024
4320859;6902.8481;5841.9905;2437.8918;2024
4320909;21518.2047;17383.4767;3640.5376;2024
4321006;16216.2165;14723.7505;1557.5295;2024
4321105;73536.3891;35684.349799999996;19905.317900000002;2024
4321204;29294.6017;9567.2507;25887.6246;2024
4321303;28011.4111;18482.2105;9809.4984;2024
4321329;6909.7754;3352.8807;2033.8309;2024
4321352;43651.3277;11356.0245;26666.2549;2024
4321402;22522.069;15734.8062;11205.0601;2024
4321436;7331.8532;2468.6614;3903.4667999999997;2024
4321451;13173.3605;6673.1717;5179.4416;2024
4321469;9799.1593;7500.643;2037.4634;2024
4321477;20184.9181;11013.7611;5212.4635;2024
4321493;17821.0258;6438.9808;8259.8745;2024
4321501;7630.9789;5727.431799999999;1329.4949;2024
4321600;7779.622;2844.7012;4254.1818;2024
4321626;6348.6177;2284.2579;3585.9505;2024
4321634;13617.0091;5987.8343;5447.0106;2024
4321667;11994.9767;3488.3018;7159.7607;2024
4321709;11079.5773;1306.9901;12399.924799999999;2024
4321808;38737.0672;28553.662;7683.3916;2024
4321832;17319.4256;2313.8182;16128.7492;2024
4321857;12374.4275;10283.0821;3545.7221;2024
4321907;22301.9008;11289.015200000002;7256.2932;2024
4321956;22691.7901;15200.7621;7271.786900000001;2024
4322004;58777.4375;26256.665;37365.2019;2024
4322103;16909.0995;13519.1269;2422.4654;2024
4322152;19453.6956;8885.6455;5851.9591;2024
4322186;12195.0443;8884.7945;3363.3655;2024
4322202;216310.2917;166555.7243;49080.990399999995;2024
4322251;4110.1761;1071.8227;2714.7688000000003;2024
4322301;28917.2276;20464.7555;5060.6119;2024
4322327;23693.2538;10792.1723;8446.2336;2024
4322343;11400.8892;8806.511100000002;2155.282;2024
4322350;11784.9097;5289.1782;5151.1167000000005;2024
4322376;51422.8922;12247.233900000001;43247.9019;2024
4322400;540097.2502;119221.1425;277871.3697;2024
4322509;183756.5462;85606.5861;110185.1913;2024
4322525;28943.5039;12874.714600000001;13117.1828;2024
4322533;28324.1899;9405.3865;12518.9565;2024
4322541;2712.3256;267.11129999999997;2823.756;2024
4322558;5731.2513;3795.3583999999996;1669.5645;2024
4322608;64363.4063;23339.4998;23949.6617;2024
4322707;25064.9121;8138.5039;9343.4984;2024
4322806;22500.8082;6067.552900000001;15614.599199999999;2024
4322855;9543.8531;5256.6798;3891.4456;2024
4322905;24256.0359;12453.3886;8210.348;2024
4323002;101654.2649;32753.367;80582.0523;2024
4323101;15668.5862;8215.1354;3613.3176;2024
4323200;22464.7792;19759.7262;2617.6094;2024
4323309;9705.4023;4252.5819;3519.1217;2024
4323358;14425.331;12074.278199999999;2258.3914;2024
4323408;16608.3407;11260.494200000001;4540.7963;2024
4323457;44572.8868;15440.2065;27821.709199999998;2024
4323507;6890.313;2753.2088000000003;2223.6123;2024
4323606;9652.058;4064.5389000000005;5571.1211;2024
4323705;7844.0684;3625.4303000000004;2565.3455;2024
4323754;21268.2683;14585.467499999999;6053.7003;2024
4323770;5144.9025;2244.4875;2422.0432;2024
4323804;2761.4961;512.2732;689.4569;2024
5000203;773706.3544;550030.3119999999;126292.8871;2024
5000252;424569.3739;269421.4669;142766.826;2024
5000609;407871.6094;279850.3809;41194.4593;2024
5000708;282936.7521;171403.17530000003;77655.0702;2024
5000807;259145.6774;174088.4592;36338.9378;2024
5000856;123933.7165;88526.6043;5829.6556;2024
5000906;112128.9986;64800.553400000004;20098.860999999997;2024
5001003;95763.5565;173016.2862;24206.6795;2024
5001102;1674289.1044;405768.3172;1199365.8281;2024
5001243;159983.2377;119808.5194;26144.399100000002;2024
5001508;328870.2364;208894.1427;69294.685;2024
5001904;178410.5867;128208.5656;25516.8599;2024
5002001;176221.5482;98029.6888;20049.908400000004;2024
5002100;479450.8718;263793.8355;119299.5967;2024
5002159;251294.8788;92672.3852;133035.97999999998;2024
5002209;518123.672;236030.19429999997;223542.3576;2024
5002308;559430.6391;378856.1761;74877.49309999999;2024
5002407;203970.1828;151292.2144;16117.1928;2024
5002605;617355.2173;426195.74850000005;151792.8785;2024
5002704;766749.6295;507738.8062;139178.6128;2024
5002803;285042.995;188032.3363;68000.8888;2024
5002902;355186.1509;261636.69240000003;50816.4505;2024
5002951;333669.5277;235371.5925;41873.016;2024
5003108;255775.1734;151592.9558;88632.0793;2024
5003157;99429.1756;69814.2234;11305.442;2024
5003207;14.0297;486247.2048;5498802.1809;2024
5003256;388814.65;269071.7039;96466.10429999999;2024
5003306;629113.6026;355384.9806;240897.831;2024
5003454;81085.4892;55989.0921;4070.923;2024
5003488;233977.7029;124600.7413;64411.7343;2024
5003504;24002.9156;19656.5624;1364.1561;2024
5003702;382906.1849;273723.6213;39231.7092;2024
5003751;91381.0781;51384.2334;11830.9205;2024
5003801;27595.6222;23096.9443;675.8824;2024
5003900;475601.6714;329207.8603;132231.9582;2024
5004007;46727.4447;34990.2673;1273.8507;2024
5004106;121218.3358;68738.72279999999;26786.782799999997;2024
5004304;291202.9838;166188.4578;36641.1041;2024
5004403;569665.834;378892.9538;80734.5956;2024
5004502;125117.5766;98867.0242;10425.3756;2024
5004601;198401.5859;117440.4847;24500.3287;2024
5004700;194849.8627;128822.0424;16269.0095;2024
5004809;30963.212;19909.463200000002;4393.7971;2024
5004908;283599.205;172160.3592;57466.996;2024
5005004;209473.0566;113083.8974;51111.4161;2024
5005103;205817.3796;98919.3638;18194.8044;2024
5005152;144045.5917;96999.18719999999;14272.7604;2024
5005202;24554.2004;8567.3162;24480.7766;2024
5005251;166595.1476;125034.4154;28165.7362;2024
5005400;529177.9016;363639.0808;96205.424;2024
5005608;457248.3259;178722.51429999998;322992.971;2024
5005681;35847.2384;19483.2639;3953.9682;2024
5005707;290486.9478;163925.56160000002;28702.0881;2024
