cod_municipio;variavel;faixa_harmonizada;valor;ano_referencia;classificacao
1100064;Número de estabelecimentos agropecuários;mais_1000_ha;15.0;2017;harmonizada
1100064;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;290.0;2017;harmonizada
1100064;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;712.0;2017;harmonizada
1100064;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;24.0;2017;harmonizada
1100064;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;331.0;2017;harmonizada
1100064;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100064;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100064;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;51788.0;2017;harmonizada
1100064;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;19388.0;2017;harmonizada
1100064;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;17120.0;2017;harmonizada
1100064;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;23277.0;2017;harmonizada
1100072;Número de estabelecimentos agropecuários;ate_10_ha;183.0;2017;harmonizada
1100072;Número de estabelecimentos agropecuários;mais_1000_ha;42.0;2017;harmonizada
1100072;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;181.0;2017;harmonizada
1100072;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;754.0;2017;harmonizada
1100072;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;13.0;2017;harmonizada
1100072;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;316.0;2017;harmonizada
1100072;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100072;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100072;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;30715.0;2017;harmonizada
1100072;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;20217.0;2017;harmonizada
1100072;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;9101.0;2017;harmonizada
1100072;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;21680.0;2017;harmonizada
1100080;Número de estabelecimentos agropecuários;ate_10_ha;270.0;2017;harmonizada
1100080;Número de estabelecimentos agropecuários;mais_1000_ha;28.0;2017;harmonizada
1100080;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;430.0;2017;harmonizada
1100080;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;418.0;2017;harmonizada
1100080;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;46.0;2017;harmonizada
1100080;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;303.0;2017;harmonizada
1100080;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100080;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
