cod_municipio;uf;modulo_fiscal_ha;numero_estabelecimentos_censo;area_estabelecimentos_censo_ha;valor_producao_florestal;produto_florestal_predominante;silvicultura_presente;ano_referencia_pevs
1302405;AM;100.0;2461.0;346270.0;;;False;2025
1302504;AM;80.0;2357.0;55465.0;;;False;2025
1302553;AM;80.0;1281.0;39162.0;;;False;2025
1302603;AM;10.0;1943.0;42006.0;;;False;2025
1302702;AM;100.0;2650.0;210857.0;;;False;2025
1302801;AM;100.0;725.0;4186.0;;;False;2025
1302900;AM;80.0;1779.0;134043.0;;;False;2025
1303007;AM;80.0;1316.0;53426.0;;;False;2025
1303106;AM;80.0;1392.0;45187.0;;;False;2025
1303205;AM;100.0;241.0;7583.0;;;False;2025
1303304;AM;100.0;1006.0;124909.0;;;False;2025
1303403;AM;80.0;2742.0;126998.0;;;False;2025
1303502;AM;100.0;1410.0;29456.0;;;False;2025
1303536;AM;80.0;1769.0;196920.0;;;False;2025
1303569;AM;80.0;1004.0;73712.0;;;False;2025
1303601;AM;100.0;1149.0;677.0;;;False;2025
1303700;AM;100.0;754.0;3461.0;;;False;2025
1303809;AM;100.0;3928.0;9826.0;;;False;2025
1303908;AM;100.0;1052.0;2095.0;;;False;2025
1303957;AM;80.0;408.0;29624.0;;;False;2025
1304005;AM;80.0;502.0;22478.0;;;False;2025
1304062;AM;100.0;1889.0;3354.0;;;False;2025
1304104;AM;100.0;1089.0;29850.0;;;False;2025
1304203;AM;100.0;1826.0;21291.0;;;False;2025
1304237;AM;100.0;367.0;3294.0;;;False;2025
1304260;AM;100.0;803.0;22301.0;;;False;2025
1304302;AM;80.0;609.0;56099.0;;;False;2025
1304401;AM;80.0;531.0;39725.0;;;False;2025
1400027;RR;80.0;1412.0;384045.0;;;False;2025
1400050;RR;80.0;1364.0;288480.0;10537.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1400100;RR;80.0;1295.0;171666.0;89498.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1400159;RR;80.0;989.0;394361.0;151423.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1400175;RR;80.0;2309.0;296137.0;29201.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1400209;RR;100.0;1199.0;189405.0;;;False;2025
1400233;RR;100.0;941.0;152637.0;;;False;2025
1400282;RR;100.0;701.0;116539.0;;;False;2025
1400308;RR;100.0;1045.0;200145.0;;;False;2025
1400407;RR;80.0;982.0;23852.0;;;False;2025
1400456;RR;80.0;353.0;19543.0;;;False;2025
1400472;RR;100.0;1919.0;208598.0;;;False;2025
1400506;RR;100.0;514.0;89786.0;;;False;2025
1400605;RR;100.0;481.0;81552.0;;;False;2025
1400704;RR;80.0;1342.0;19535.0;;;False;2025
1500107;PA;70.0;9410.0;94116.0;;;False;2025
1500131;PA;70.0;186.0;25917.0;6948.0;1.3.1 - Madeira em tora para papel e celulose;True;2025
1500206;PA;50.0;6373.0;154795.0;;;False;2025
1500305;PA;70.0;4296.0;133819.0;;;False;2025
1500347;PA;70.0;1614.0;408679.0;;;False;2025
1500404;PA;75.0;4940.0;302046.0;;;False;2025
1500503;PA;70.0;1093.0;181246.0;0.0;;True;2025
1500602;PA;75.0;3896.0;1527792.0;1350.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1500701;PA;70.0;1666.0;162642.0;;;False;2025
1500800;PA;7.0;287.0;1401.0;;;False;2025
1500859;PA;70.0;2403.0;396206.0;;;False;2025
1500909;PA;55.0;3531.0;38004.0;;;False;2025
1500958;PA;55.0;2364.0;122139.0;2847.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1501006;PA;75.0;1151.0;105724.0;;;False;2025
1501105;PA;70.0;1468.0;121285.0;;;False;2025
1501204;PA;70.0;2820.0;74230.0;;;False;2025
1501253;PA;75.0;491.0;232633.0;;;False;2025
1501303;PA;70.0;3120.0;21098.0;;;False;2025
1501402;PA;5.0;601.0;6166.0;;;False;2025
1501451;PA;75.0;506.0;45837.0;;;False;2025
1501501;PA;7.0;211.0;2803.0;;;False;2025
1501576;PA;70.0;1294.0;143443.0;;;False;2025
1501600;PA;55.0;1086.0;43134.0;;;False;2025
1501709;PA;55.0;4538.0;95010.0;;;False;2025
1501725;PA;75.0;1855.0;431123.0;;;False;2025
1501758;PA;70.0;608.0;113066.0;9238.0;1.3.1 - Madeira em tora para papel e celulose;True;2025
1501782;PA;70.0;2490.0;291661.0;91688.0;1.1 - Carvão vegetal;True;2025
1501808;PA;70.0;5082.0;235274.0;;;False;2025
1501907;PA;55.0;2955.0;36988.0;;;False;2025
1501956;PA;75.0;2028.0;125041.0;;;False;2025
1502004;PA;65.0;816.0;74594.0;;;False;2025
1502103;PA;70.0;12889.0;96675.0;;;False;2025
1502152;PA;70.0;1148.0;131212.0;;;False;2025
1502202;PA;55.0;920.0;25357.0;;;False;2025
1502301;PA;55.0;2418.0;106364.0;;;False;2025
1502400;PA;55.0;1117.0;38086.0;;;False;2025
1502509;PA;65.0;1722.0;468467.0;;;False;2025
1502608;PA;55.0;465.0;2788.0;;;False;2025
1502707;PA;75.0;3388.0;344172.0;;;False;2025
1502756;PA;55.0;1183.0;35964.0;;;False;2025
1502764;PA;75.0;787.0;923618.0;;;False;2025
1502772;PA;70.0;312.0;184006.0;;;False;2025
1502806;PA;70.0;2941.0;87923.0;;;False;2025
1502855;PA;75.0;495.0;70282.0;;;False;2025
1502905;PA;55.0;567.0;7074.0;;;False;2025
1502939;PA;55.0;567.0;213396.0;106586.0;1.3.1 - Madeira em tora para papel e celulose;True;2025
1502954;PA;70.0;2600.0;230765.0;;;False;2025
1503002;PA;75.0;103.0;6479.0;;;False;2025
1503044;PA;75.0;1276.0;207691.0;;;False;2025
1503077;PA;55.0;2211.0;93252.0;;;False;2025
1503093;PA;55.0;1357.0;351585.0;;;False;2025
1503101;PA;70.0;1346.0;57188.0;;;False;2025
1503200;PA;55.0;2126.0;48858.0;;;False;2025
1503309;PA;70.0;3863.0;46123.0;;;False;2025
1503408;PA;55.0;534.0;18181.0;;;False;2025
1503457;PA;55.0;2151.0;159822.0;;;False;2025
1503507;PA;55.0;2356.0;77692.0;;;False;2025
1503606;PA;75.0;1597.0;341171.0;;;False;2025
1503705;PA;70.0;3318.0;460210.0;;;False;2025
1503754;PA;75.0;434.0;163832.0;;;False;2025
1503804;PA;70.0;731.0;132951.0;3687.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1503903;PA;75.0;1486.0;37763.0;;;False;2025
1504000;PA;70.0;3813.0;37122.0;;;False;2025
1504059;PA;55.0;802.0;29734.0;;;False;2025
1504109;PA;55.0;441.0;11681.0;;;False;2025
1504208;PA;70.0;5305.0;738374.0;;;False;2025
1504307;PA;55.0;1756.0;19236.0;;;False;2025
1504406;PA;55.0;911.0;12329.0;;;False;2025
1504422;PA;7.0;51.0;72.0;;;False;2025
