cod_municipio;numero_estabelecimentos;area_estabelecimentos_ha;ano_referencia
1502707;3388.0;344172.0;2017
1502756;1183.0;35964.0;2017
1502764;787.0;923618.0;2017
1502772;312.0;184006.0;2017
1502806;2941.0;87923.0;2017
1502855;495.0;70282.0;2017
1502905;567.0;7074.0;2017
1502939;567.0;213396.0;2017
1502954;2600.0;230765.0;2017
1503002;103.0;6479.0;2017
1503044;1276.0;207691.0;2017
1503077;2211.0;93252.0;2017
1503093;1357.0;351585.0;2017
1503101;1346.0;57188.0;2017
1503200;2126.0;48858.0;2017
1503309;3863.0;46123.0;2017
1503408;534.0;18181.0;2017
1503457;2151.0;159822.0;2017
1503507;2356.0;77692.0;2017
1503606;1597.0;341171.0;2017
1503705;3318.0;460210.0;2017
1503754;434.0;163832.0;2017
1503804;731.0;132951.0;2017
1503903;1486.0;37763.0;2017
1504000;3813.0;37122.0;2017
1504059;802.0;29734.0;2017
1504109;441.0;11681.0;2017
1504208;5305.0;738374.0;2017
1504307;1756.0;19236.0;2017
1504406;911.0;12329.0;2017
1504422;51.0;72.0;2017
1504455;3457.0;299265.0;2017
1504505;1759.0;124.0;2017
1504604;1480.0;26608.0;2017
1504703;5831.0;361047.0;2017
1504752;1575.0;133126.0;2017
1504802;4225.0;202780.0;2017
1504901;2484.0;87666.0;2017
1504950;1378.0;78957.0;2017
1504976;1428.0;120089.0;2017
1505007;906.0;26338.0;2017
1505031;1318.0;841898.0;2017
1505064;5424.0;865231.0;2017
1505106;2780.0;241177.0;2017
1505205;3725.0;38288.0;2017
1505304;2440.0;124183.0;2017
1505403;1159.0;37429.0;2017
1505437;1207.0;203478.0;2017
1505486;4422.0;807620.0;2017
1505494;433.0;63368.0;2017
1505502;1446.0;856019.0;2017
1505536;1297.0;87951.0;2017
1505551;570.0;123819.0;2017
1505601;718.0;35815.0;2017
1505635;1334.0;298015.0;2017
1505650;2722.0;301243.0;2017
1505700;2841.0;41996.0;2017
1505809;2348.0;105277.0;2017
1505908;1584.0;316242.0;2017
1506005;1211.0;117118.0;2017
1506104;388.0;4877.0;2017
1506112;151.0;1897.0;2017
1506138;986.0;245824.0;2017
1506161;1064.0;322054.0;2017
1506187;1850.0;364997.0;2017
1506195;2660.0;309902.0;2017
1506203;210.0;898.0;2017
1506302;344.0;14360.0;2017
1506351;447.0;8002.0;2017
1506401;175.0;22626.0;2017
1506500;1213.0;21497.0;2017
1506559;1131.0;68167.0;2017
1506583;2788.0;798318.0;2017
1506609;1217.0;24953.0;2017
1506708;2051.0;857864.0;2017
1506807;7379.0;180512.0;2017
1506906;233.0;7952.0;2017
1507003;883.0;19248.0;2017
1507102;626.0;14476.0;2017
1507151;1016.0;112369.0;2017
1507201;3151.0;80819.0;2017
